,money,last_updated_at,value
0,AED,2022-01-01,3.67267
1,AFN,2022-01-01,103.6321
2,ALL,2022-01-01,105.93177
3,AMD,2022-01-01,479.01204
4,AOA,2022-01-01,561.3327
5,ARS,2022-01-01,102.68228
6,AUD,2022-01-01,1.37532
7,AWG,2022-01-01,1.78004
8,AZN,2022-01-01,1.69304
9,BBD,2022-01-01,1.99814
10,BDT,2022-01-01,85.62223
11,BGN,2022-01-01,1.71934
12,BHD,2022-01-01,0.37701
13,BIF,2022-01-01,1989.14937
14,BMD,2022-01-01,1.00003
15,BND,2022-01-01,1.34862
16,BOB,2022-01-01,6.83016
17,BRL,2022-01-01,5.57043
18,BSD,2022-01-01,1.00003
19,BTC,2022-01-01,0.0216
20,BTN,2022-01-01,74.31136
21,BWP,2022-01-01,11.74793
22,BYR,2022-01-01,3.00003
23,CAD,2022-01-01,1.26249
24,CDF,2022-01-01,1994.94245
25,CHF,2022-01-01,0.91201
26,CLP,2022-01-01,851.1244
27,CNY,2022-01-01,6.36386
28,COP,2022-01-01,4065.44524
29,CRC,2022-01-01,638.28509
30,CUC,2022-01-01,24.00028
31,CVE,2022-01-01,96.94277
32,CZK,2022-01-01,21.83007
33,DJF,2022-01-01,177.50259
34,DKK,2022-01-01,6.53643
35,DOP,2022-01-01,57.10077
36,DZD,2022-01-01,138.12174
37,EGP,2022-01-01,15.6603
38,ERN,2022-01-01,15.00028
39,ETB,2022-01-01,49.19465
40,ETH,2022-01-01,0.00027
41,EUR,2022-01-01,0.87943
42,FJD,2022-01-01,2.11856
43,GBP,2022-01-01,0.73931
44,GEL,2022-01-01,3.06004
45,GHS,2022-01-01,6.03016
46,GIP,2022-01-01,0.74202
47,GMD,2022-01-01,52.9008
48,GNF,2022-01-01,9193.12119
49,GTQ,2022-01-01,7.70518
50,GYD,2022-01-01,207.98258
51,HKD,2022-01-01,7.79609
52,HNL,2022-01-01,24.25392
53,HRK,2022-01-01,6.6396
54,HTG,2022-01-01,98.95277
55,HUF,2022-01-01,323.81465
56,IDR,2022-01-01,14250.40122
57,ILS,2022-01-01,3.09675
58,INR,2022-01-01,74.46853
59,IQD,2022-01-01,1458.53586
60,IRR,2022-01-01,42001.17409
61,ISK,2022-01-01,129.6418
62,JMD,2022-01-01,152.75224
63,JOD,2022-01-01,0.70701
64,JPY,2022-01-01,115.11187
65,KES,2022-01-01,113.05283
66,KGS,2022-01-01,84.80219
67,KHR,2022-01-01,4064.10659
68,KMF,2022-01-01,433.80524
69,KPW,2022-01-01,130.00295
70,KRW,2022-01-01,1185.02539
71,KWD,2022-01-01,0.3021
72,KYD,2022-01-01,0.82502
73,KZT,2022-01-01,434.84148
74,LAK,2022-01-01,11138.26228
75,LBP,2022-01-01,1505.73102
76,LKR,2022-01-01,202.75369
77,LRD,2022-01-01,144.00301
78,LSL,2022-01-01,15.94278
79,LTC,2022-01-01,0.00685
80,LYD,2022-01-01,4.58465
81,MAD,2022-01-01,9.24883
82,MDL,2022-01-01,17.70336
83,MGA,2022-01-01,3937.08508
84,MKD,2022-01-01,54.31073
85,MMK,2022-01-01,1769.52306
86,MNT,2022-01-01,2830.05053
87,MOP,2022-01-01,8.03019
88,MRO,2022-01-01,36.13106
89,MUR,2022-01-01,43.45044
90,MVR,2022-01-01,15.42032
91,MWK,2022-01-01,806.81477
92,MXN,2022-01-01,20.49896
93,MYR,2022-01-01,4.16406
94,MZN,2022-01-01,63.20096
95,NAD,2022-01-01,15.95333
96,NGN,2022-01-01,411.70902
97,NIO,2022-01-01,35.31039
98,NOK,2022-01-01,8.79303
99,NPR,2022-01-01,118.93311
100,NZD,2022-01-01,1.46192
101,OMR,2022-01-01,0.38471
102,PAB,2022-01-01,1.00003
103,PEN,2022-01-01,3.98527
104,PGK,2022-01-01,3.51194
105,PHP,2022-01-01,50.99135
106,PKR,2022-01-01,175.80267
107,PLN,2022-01-01,4.03158
108,PYG,2022-01-01,6857.12134
109,QAR,2022-01-01,3.64158
110,RON,2022-01-01,4.34823
111,RSD,2022-01-01,103.28223
112,RUB,2022-01-01,74.74872
113,RWF,2022-01-01,1024.72857
114,SAR,2022-01-01,3.75389
115,SBD,2022-01-01,7.90512
116,SCR,2022-01-01,13.60715
117,SDG,2022-01-01,436.2866
118,SEK,2022-01-01,9.04196
119,SGD,2022-01-01,1.34767
120,SLL,2022-01-01,11140.15983
121,SOS,2022-01-01,575.01646
122,SRD,2022-01-01,19.53145
123,STD,2022-01-01,21.52052
124,SVC,2022-01-01,8.74959
125,SYP,2022-01-01,2511.03826
126,SZL,2022-01-01,15.94871
127,THB,2022-01-01,33.23057
128,TJS,2022-01-01,11.29919
129,TMT,2022-01-01,3.49006
130,TND,2022-01-01,2.87016
131,TRY,2022-01-01,13.30233
132,TTD,2022-01-01,6.77262
133,TWD,2022-01-01,27.68057
134,TZS,2022-01-01,2301.06306
135,UAH,2022-01-01,27.25063
136,UGX,2022-01-01,3541.04475
137,USD,2022-01-01,1.0
138,UZS,2022-01-01,10816.18508
139,VES,2022-01-01,4.59011
140,VND,2022-01-01,22825.35813
141,VUV,2022-01-01,111.26311
142,XAF,2022-01-01,576.67892
143,XOF,2022-01-01,576.50899
144,XPF,2022-01-01,104.63208
145,XRP,2022-01-01,1.2079
146,YER,2022-01-01,249.95497
147,ZAR,2022-01-01,15.92997
148,ZMW,2022-01-01,16.63533
